Sample;Ch1;Ch2
0;0.007843137718737125;0.0058823530562222
1;0.010784314014017582;0.009803921915590763
2;0.01666666753590107;0.0235294122248888
3;-0.003921568859368563;0.01274509821087122
4;0.0058823530562222;0.01666666753590107
5;-0.0049019609577953815;0.020588235929608345
6;0.0;0.009803921915590763
7;0.0009803922148421407;0.026470588520169258
8;-0.01666666753590107;0.019607843831181526
9;-0.007843137718737125;0.014705882407724857
10;-0.008823529817163944;0.014705882407724857
11;-0.01666666753590107;0.01666666753590107
12;0.006862745154649019;0.01274509821087122
13;-0.0058823530562222;0.013725490309298038
14;-0.0313725508749485;0.014705882407724857
15;-0.0049019609577953815;0.01274509821087122
16;0.0029411765281111;0.01274509821087122
17;-0.006862745154649019;0.01568627543747425
18;-0.014705882407724857;0.0029411765281111
19;-0.009803921915590763;0.01568627543747425
20;0.003921568859368563;0.006862745154649019
21;-0.003921568859368563;0.013725490309298038
22;-0.0019607844296842813;0.01274509821087122
23;-0.01666666753590107;0.01666666753590107
24;-0.009803921915590763;-0.0019607844296842813
25;0.003921568859368563;0.019607843831181526
26;0.0029411765281111;0.013725490309298038
27;-0.0117647061124444;0.01666666753590107
28;-0.007843137718737125;0.014705882407724857
29;-0.003921568859368563;0.01274509821087122
30;-0.0117647061124444;0.008823529817163944
31;0.013725490309298038;0.02450980432331562
32;-0.003921568859368563;0.006862745154649019
33;0.0;0.01666666753590107
34;0.0009803922148421407;0.010784314014017582
35;0.0019607844296842813;0.0235294122248888
36;0.008823529817163944;0.010784314014017582
37;-0.009803921915590763;0.010784314014017582
38;-0.008823529817163944;0.008823529817163944
39;-0.008823529817163944;0.020588235929608345
40;0.0;0.0049019609577953815
41;-0.0058823530562222;0.008823529817163944
42;-0.009803921915590763;0.021568628028035164
43;-0.0029411765281111;0.01568627543747425
44;-0.01274509821087122;0.0117647061124444
45;0.01274509821087122;0.01764705963432789
46;-0.0058823530562222;0.01568627543747425
47;-0.010784314014017582;0.009803921915590763
48;-0.010784314014017582;0.010784314014017582
49;0.010784314014017582;0.014705882407724857
50;0.009803921915590763;0.0235294122248888
51;0.0;0.02549019642174244
52;-0.003921568859368563;0.01764705963432789
53;0.0049019609577953815;0.01568627543747425
54;-0.0029411765281111;0.01764705963432789
55;-0.0049019609577953815;0.01568627543747425
56;0.008823529817163944;0.0117647061124444
57;-0.0117647061124444;0.01764705963432789
58;-0.008823529817163944;0.014705882407724857
59;-0.0117647061124444;0.019607843831181526
60;0.01568627543747425;0.020588235929608345
61;0.01666666753590107;0.019607843831181526
62;-0.01274509821087122;0.01568627543747425
63;-0.0049019609577953815;0.022549020126461983
64;0.010784314014017582;0.019607843831181526
65;0.0049019609577953815;0.018627451732754707
66;-0.013725490309298038;0.01274509821087122
67;0.0009803922148421407;0.0049019609577953815
68;-0.013725490309298038;0.0029411765281111
69;0.01274509821087122;0.01764705963432789
70;0.0058823530562222;0.013725490309298038
71;0.0058823530562222;0.01666666753590107
72;-0.006862745154649019;0.01274509821087122
73;0.0009803922148421407;0.013725490309298038
74;0.006862745154649019;0.014705882407724857
75;-0.014705882407724857;0.006862745154649019
76;-0.0019607844296842813;0.0235294122248888
77;-0.0058823530562222;0.01274509821087122
78;-0.008823529817163944;0.02549019642174244
79;-0.0019607844296842813;0.008823529817163944
80;-0.009803921915590763;0.013725490309298038
81;-0.014705882407724857;0.019607843831181526
82;-0.009803921915590763;0.008823529817163944
83;-0.01568627543747425;0.0235294122248888
84;-0.01274509821087122;0.010784314014017582
85;-0.003921568859368563;0.007843137718737125
86;-0.020588235929608345;0.020588235929608345
87;0.003921568859368563;0.019607843831181526
88;-0.006862745154649019;0.0117647061124444
89;-0.010784314014017582;0.026470588520169258
90;0.006862745154649019;0.013725490309298038
91;-0.009803921915590763;0.01274509821087122
92;-0.014705882407724857;0.01274509821087122
93;-0.0019607844296842813;0.013725490309298038
94;0.006862745154649019;0.0117647061124444
95;0.0058823530562222;0.010784314014017582
96;-0.01568627543747425;0.018627451732754707
97;-0.0049019609577953815;0.01274509821087122
98;0.009803921915590763;0.01274509821087122
99;-0.0117647061124444;0.003921568859368563
